course_id,course_name,credit,offering_department
CS20001,数据库系统,3.5,计算机科学技术学院
CS20002,数据结构,4,计算机科学技术学院
CS20003,操作系统,4,计算机科学技术学院
CS20004,计算机网络,3.5,计算机科学技术学院
CS20005,计算机组成原理,3.5,计算机科学技术学院
CS20006,算法设计与分析,3,计算机科学技术学院
CS20007,软件工程,3,计算机科学技术学院
EE20001,信息安全基础,3,信息科学与工程学院
EE20002,数据挖掘导论,3,信息科学与工程学院
EE20003,机器学习导论,3.5,信息科学与工程学院
EE20004,信号与系统,3,信息科学与工程学院
EE20005,数字电路,3,信息科学与工程学院
MA20001,离散数学,3,数学科学学院
MA20002,线性代数,3,数学科学学院
MA20003,高等数学A,5,数学科学学院
MA20004,概率论与数理统计,3,数学科学学院
MA20005,数值分析,3,数学科学学院
PH20001,大学物理A,4,物理学系
PH20002,电磁学,3.5,物理学系
PH20003,理论力学,3,物理学系
PH20004,量子力学导论,3,物理学系
PH20005,现代物理实验,2,物理学系
CH20001,无机化学,3,化学系
CH20002,有机化学,3.5,化学系
CH20003,物理化学,3.5,化学系
CH20004,分析化学,3,化学系
BI20001,生物化学,3,生命科学学院
BI20002,细胞生物学,3,生命科学学院
BI20003,分子生物学,3,生命科学学院
BI20004,遗传学,3,生命科学学院
JR20001,新闻写作,2.5,新闻学院
JR20002,传播学概论,2.5,新闻学院
JR20003,新媒体研究,2,新闻学院
EC20001,微观经济学,3,经济学院
EC20002,宏观经济学,3,经济学院
EC20003,计量经济学,3,经济学院
EC20004,国际经济学,2.5,经济学院
MG20001,管理学原理,3,管理学院
MG20002,市场营销,2.5,管理学院
MG20003,财务管理,3,管理学院
MG20004,商业分析基础,3,管理学院
FL20001,英语写作,2,外国语言文学学院
FL20002,学术英语,2,外国语言文学学院
FL20003,口译基础,2,外国语言文学学院
LW20001,法理学,3,法学院
LW20002,宪法学,3,法学院
LW20003,民法学,3.5,法学院
MD20001,人体解剖学,4,医学院
MD20002,临床医学概论,3,医学院
SP20001,流行病学基础,3,公共卫生学院
CS20008,编译原理,3.5,计算机科学技术学院
CS20009,人工智能导论,3.5,计算机科学技术学院
CS20010,Web开发基础,2.5,计算机科学技术学院
EE20006,大数据技术,3,信息科学与工程学院
EE20007,深度学习导论,3,信息科学与工程学院
EE20008,数据可视化,2.5,信息科学与工程学院
EE20009,嵌入式系统,3,信息科学与工程学院
EE20010,计算机体系结构,3,信息科学与工程学院
MA20006,运筹学,3,数学科学学院
MA20007,复变函数,3,数学科学学院
MA20008,实变函数,3,数学科学学院
MA20009,抽象代数,3,数学科学学院
MA20010,随机过程,3,数学科学学院
PH20006,热学,3,物理学系
PH20007,光学,3,物理学系
PH20008,固体物理导论,3,物理学系
PH20009,近代物理实验,2,物理学系
CH20005,结构化学,3,化学系
CH20006,高分子化学,3,化学系
CH20007,化学实验安全,1,化学系
BI20005,微生物学,3,生命科学学院
BI20006,生态学导论,2.5,生命科学学院
BI20007,神经科学导论,2.5,生命科学学院
JR20004,调查报道,2,新闻学院
JR20005,媒介伦理,2,新闻学院
EC20005,发展经济学,2.5,经济学院
EC20006,金融学,3,经济学院
EC20007,博弈论基础,2.5,经济学院
MG20005,组织行为学,2.5,管理学院
MG20006,运营管理,3,管理学院
MG20007,创业管理,2.5,管理学院
MG20008,商务沟通,2,管理学院
FL20004,英语演讲与展示,2,外国语言文学学院
FL20005,跨文化交际,2,外国语言文学学院
LW20004,法律文书写作,2,法学院
LW20005,刑法学,3.5,法学院
LW20006,行政法与行政诉讼法,3,法学院
MD20003,医学生物统计,3,医学院
MD20004,病理学基础,3,医学院
MD20005,医学影像学概论,2.5,医学院
SP20002,公共卫生导论,2.5,公共卫生学院
SP20003,卫生政策与管理,2.5,公共卫生学院
SP20004,健康教育学,2,公共卫生学院
MG20009,体育与健康,1,管理学院
JR20006,学术规范与科研伦理,1,新闻学院
FL20006,大学英语（提高）,2,外国语言文学学院
