event_id,building_name,event_name,start_time,end_time,organizer,description,create_time,update_time
1,光华楼,数据库课程答疑周,2025-09-16 19:00:00,2025-09-16 21:00:00,计算机科学技术学院,课程助教集中答疑与上机指导,\N,\N
2,光华楼,研究生学术讲座：数据管理前沿,2025-10-10 14:00:00,2025-10-10 16:00:00,计算机科学技术学院,邀请校友分享数据库与系统研究进展,\N,\N
3,理科楼,数学建模入门工作坊,2025-09-25 18:30:00,2025-09-25 20:30:00,数学科学学院,建模竞赛经验分享与练习题讲解,\N,\N
4,理科楼,本科生科研训练说明会,2025-10-08 12:10:00,2025-10-08 13:10:00,教务处,介绍科研训练项目与选题流程,\N,\N
5,文科楼,大学英语口语角,2025-09-20 15:00:00,2025-09-20 16:30:00,外国语言文学学院,主题交流与分组讨论,\N,\N
6,文科楼,新生学习方法讲座,2025-09-18 19:00:00,2025-09-18 20:30:00,学生工作部,时间管理与课程规划建议,\N,\N
7,图书馆（邯郸）,图书馆信息检索培训,2025-09-12 10:00:00,2025-09-12 11:30:00,图书馆,数据库检索与文献管理工具入门,\N,\N
8,图书馆（邯郸）,毕业论文写作与引用规范,2025-11-05 14:00:00,2025-11-05 15:30:00,图书馆,引用格式与学术规范说明,\N,\N
9,旦苑食堂,食堂新品试吃活动,2025-10-01 11:00:00,2025-10-01 13:00:00,后勤集团,面向师生的新品试吃与反馈收集,\N,\N
10,旦苑食堂,文明就餐宣传日,2025-10-15 11:30:00,2025-10-15 12:30:00,校团委,倡导光盘行动与排队礼仪,\N,\N
11,南区宿舍1号楼,宿舍消防演练,2025-09-27 20:00:00,2025-09-27 20:30:00,保卫处,应急疏散与灭火器使用演示,\N,\N
12,南区宿舍1号楼,宿舍楼层长交流会,2025-10-12 19:30:00,2025-10-12 20:30:00,学生社区中心,楼层管理经验与问题反馈,\N,\N
13,北区宿舍1号楼,宿舍文化节开幕式,2025-10-20 18:30:00,2025-10-20 20:00:00,学生社区中心,宿舍文化作品展示与评选规则说明,\N,\N
14,北区宿舍1号楼,期中考试诚信教育会,\N,\N,学生工作部,考试纪律与诚信案例宣讲,\N,\N
15,正大体育馆,校园跑打卡启动仪式,2025-09-14 08:30:00,2025-09-14 09:30:00,体育教学部,发布校园跑规则与路线建议,\N,\N
16,正大体育馆,院系羽毛球友谊赛,2025-11-16 13:00:00,2025-11-16 17:00:00,校工会,院系混合团体赛交流活动,\N,\N
17,行政楼（邯郸）,校园开放日咨询点,2025-10-03 09:30:00,2025-10-03 16:00:00,招生办公室,现场咨询与资料发放,\N,\N
18,行政楼（邯郸）,教务系统使用培训,2025-09-10 13:30:00,2025-09-10 14:30:00,教务处,选课与成绩查询常见问题说明,\N,\N
19,校史馆,校史讲解志愿者招募,2025-09-22 12:00:00,2025-09-22 13:00:00,校史馆,招募说明与面试安排,\N,\N
20,校史馆,校友故事分享会,2025-11-02 15:00:00,2025-11-02 16:30:00,校友会,邀请校友讲述求学与职业经历,\N,\N
21,交叉学科楼A,江湾交叉学科论坛,2025-10-18 09:00:00,2025-10-18 12:00:00,研究生院,跨学科研究主题报告与交流,\N,\N
22,交叉学科楼A,人工智能读书会,2025-11-08 18:30:00,2025-11-08 20:30:00,信息科学与工程学院,经典论文精读与讨论,\N,\N
23,交叉学科楼B,法学讲座：案例分析方法,2025-10-26 14:00:00,2025-10-26 16:00:00,法学院,案例研读流程与课堂展示技巧,\N,\N
24,交叉学科楼B,就业分享：互联网岗位准备,2025-11-23 19:00:00,2025-11-23 20:30:00,学生职业发展中心,简历与面试准备经验分享,\N,\N
25,信息学楼,实验室安全培训,2025-09-11 15:00:00,2025-09-11 16:30:00,实验室与设备管理处,实验室规范与应急处理流程,\N,\N
26,信息学楼,开放实验日,2025-10-30 13:30:00,2025-10-30 16:30:00,信息科学与工程学院,展示实验平台与科研项目,\N,\N
27,法学楼（江湾）,模拟法庭公开课,2025-11-12 18:30:00,2025-11-12 20:30:00,法学院,围绕真实案例开展庭审模拟,\N,\N
28,法学楼（江湾）,法律职业规划沙龙,2025-10-06 19:00:00,2025-10-06 20:30:00,法学院,律所与公务员路径比较与建议,\N,\N
29,图书馆（江湾）,图书馆资源推介会,2025-09-19 14:00:00,2025-09-19 15:00:00,图书馆,介绍新上线的电子资源与试用方式,\N,\N
30,图书馆（江湾）,学术海报设计小课,2025-11-15 10:00:00,2025-11-15 11:30:00,图书馆,海报排版与展示要点,\N,\N
31,江湾食堂,江湾食堂志愿服务日,2025-09-28 11:00:00,2025-09-28 13:00:00,校团委,餐盘回收与文明就餐引导,\N,\N
32,江湾食堂,冬季暖心餐活动,2025-12-08 11:00:00,2025-12-08 13:00:00,后勤集团,提供暖心餐与节日小礼物,\N,\N
33,江湾宿舍1号楼,宿舍迎新联欢,2025-09-13 19:00:00,2025-09-13 21:00:00,学生社区中心,楼栋迎新节目与破冰游戏,\N,\N
34,江湾宿舍2号楼,宿舍维修集中受理,2025-10-09 18:00:00,2025-10-09 20:00:00,后勤服务中心,集中受理报修并现场登记,\N,\N
35,江湾体育中心,江湾体育中心体测预约说明会,2025-09-09 12:10:00,2025-09-09 12:50:00,体育教学部,讲解体测项目与预约流程,\N,\N
36,江湾体育中心,篮球训练营,2025-10-22 17:00:00,2025-10-22 19:00:00,体育教学部,基础技术训练与分组对抗,\N,\N
37,后勤服务楼（江湾）,后勤服务咨询日,2025-09-24 12:00:00,2025-09-24 13:30:00,后勤集团,水电报修与服务事项集中答疑,\N,\N
38,后勤服务楼（江湾）,校园交通与安全宣讲,2025-10-17 19:00:00,2025-10-17 20:00:00,保卫处,骑行规范与夜间安全提示,\N,\N
39,基础医学院楼,医学科研方法导论讲座,2025-10-13 14:00:00,2025-10-13 16:00:00,医学院,研究设计与文献阅读方法,\N,\N
40,公共卫生学院楼,公共卫生专题讲座：健康传播,2025-11-01 09:30:00,2025-11-01 11:00:00,公共卫生学院,健康传播案例与实践路径,\N,\N
41,护理学院楼,护理技能展示活动,2025-10-05 14:00:00,2025-10-05 16:00:00,护理学院,护理技能演示与互动体验,\N,\N
42,枫林图书馆,枫林图书馆夜读活动,2025-11-20 18:30:00,2025-11-20 21:00:00,图书馆,安静阅读与交流分享,\N,\N
